0,1439
1,1213
2,138
3,603
4,1053
5,65
6,668
7,2641
8,123
9,75
10,18
11,19
12,593
13,80
14,1079
15,5417
16,1109
17,730
18,71
19,144
20,74
21,15
22,81
23,225
24,487
25,207
26,25
27,83
28,2226
29,171
30,4429
31,6854
32,115
33,82
34,10
35,48
36,85
37,10
38,41
39,137
40,14
41,9
42,0
43,4
44,23
45,6
46,11
47,94
48,481
49,113
50,41
51,31
52,90
53,5
54,108
55,107
56,706
57,64
58,29
59,33
60,4390
61,74
62,3126
63,2050
64,905
65,79
66,74
67,116
68,812
69,8
70,132
71,171
72,68
73,7
74,4
75,7
76,113
77,5
78,85
79,70
80,74
81,15
82,4
83,8
84,11
85,2
86,2
87,4
88,80
89,6
90,11
91,13
92,179
93,9
94,87
95,98
96,434
97,82
98,43
99,103
100,114
101,4
102,46
103,120
104,19
105,4
106,4
107,0
108,47
109,7
110,44
111,97
112,1669
113,140
114,144
115,109
116,171
117,4
118,136
119,148
120,2793
121,55
122,96
123,88
124,4525
125,86
126,1855
127,1517
128,87
129,605
130,14
131,849
132,78
133,60
134,14
135,4886
136,9
137,42
138,0
139,13
140,37
141,86
142,34
143,3819
144,80
145,139
146,10
147,94
148,3
149,4
150,8
151,78
152,37
153,37
154,2
155,38
156,151
157,102
158,101
159,2498
160,6
161,13
162,0
163,17
164,5
165,2
166,1
167,94
168,0
169,1
170,0
171,4
172,3
173,1
174,6
175,40
176,19
177,41
178,3
179,44
180,6
181,13
182,4
183,88
184,14
185,44
186,2
187,69
188,107
189,86
190,43
191,1722
192,438
193,2263
194,21
195,4876
196,112
197,147
198,45
199,6354
200,33
201,129
202,1
203,125
204,44
205,119
206,47
207,2320
208,78
209,176
210,6
211,66
212,2
213,3
214,10
215,106
216,82
217,99
218,3
219,94
220,118
221,130
222,98
223,1804
224,847
225,4705
226,28
227,3394
228,77
229,71
230,51
231,2251
232,21
233,94
234,1
235,47
236,42
237,96
238,75
239,1834
240,4268
241,4900
242,102
243,2070
244,68
245,78
246,107
247,1612
248,2326
249,1764
250,43
251,1450
252,1792
253,1459
254,1598
